"id","codbarras","nome","preco_venda"
57408,"7896283005602",SEMENTE CHIA JASMINE 150GR,"13,99"
57409,"7894321219523",BISC.TODDY COOKIE ORIGINAL 150GR,"5,95"
57410,"7898489770599",GELEIA CLASSIC MORANGO 400GR,"9,99"
57411,"7898489770582",GELEIA CLASSIC AMORA 400GR,"9,99"
57412,"7898489770605",GELEIA CLASSIC GOIABA 400GR,"9,99"
57413,"7891079012994",MAC.NISSIN CUPNOODLES 72G G.CAIP.PI,"4,59"
57414,"7899838831206",ELETRO CHALEIRA MULTILASER BE006,"99,9"
57415,"7899838813653",SMARTPHONE MULTILASER MS50 4G NB236,"598"
57416,"027242895171",PEN DRIVE SONY 8GB RETRATIL,"39,9"
57417,"7891112235359",ASSAD.ALUMINIO BRASIL PR.,"34,9"
57418,"7891112225091",FACA PAO TRAMONTINA INOX 7 PLENUS,"19,9"
57419,"7891112225213",FACA CARNE TRAMONTINA INOX 7 PLENUS,"17,9"
57420,"7891112249264",FACA COZINHA TRAMONTINA INOX 7 PLEN,"18,5"
57421,"7891116139592",PANELA TRAMONTINA INOX BRAVA,"99,9"
57422,"7891112170681",CONCHA SORVETE TRAMONTINA 25227/400,"13,9"
57423,"7891116061503",COZI-VAPORE TRAM.ALEGRA 62660/200,"115"
57424,"7898110921765",CAIXA NATAL EB CESTA GRANDE C/ALCA,"11,9"
57425,"7898110920584",CAIXA NATAL EB CESTA MEDIA C/ALCA,"8,9"
57426,"7891025109693",IOG.DANONE ACTIVIA 170G AMEIXA ZERO,"3,95"
57427,"7891025109419",IOG.DANONE ACTIVIA AMEIXA 170GR,"3,95"
57428,"7891025109433",IOG.DANONE ACTIVIA 170G AVEIA,"3,95"
57429,"7891025109396",IOG.DANONE ACTIVIA 170G MORANGO,"3,95"
57430,"7891025107255",IOG.DANONE DANONINHO 100G BANANA MA,"2,49"
57431,"7891025109082",IOG.DANONE DANONINHO 100G UVA,"2,49"
57432,"7898953148015",SUCO PRATS LARANJA 330ML,"4,99"
57433,"7898953148176",SUCO PRATS LARANJA 4LT,"36,95"
57434,"7898953148169",SUCO PRATS LARANJA 900ML,"9,99"
57435,"7896279600484",MARGARINA COAMO 80% 15KG,"0"
57436,"7891528020662",CREME D.SORRISO DB+FRESH KT15x90GR,"0"
57437,"7909107801004",CAIXA PLUS UNICORNIO P ROSA,"4,4"
57438,"7909107908734",CAIXA PLUS RET.UNICORNIO M ROSA,"6,5"
57439,"7909107917095",CAIXA PLUS RET.LOUISE G ROSA,"7,9"
57440,"7896438874473",CAIXA PLUS MARINA P C/TAMPA,"13,5"
57441,"7909107772861",CAIXA PLUS MARINA G,"8,9"
57442,"7909107930421",CAIXA PLUS AFRODITE M,"6,5"
57443,"7909107765184",CAIXA RET.KRAFT NOAH VDE M,"19,5"
57444,"7909107698482",CAIXA PLUS ESTER G C/TAMPA,"29,9"
57445,"7909107949003",SACO CROMUS MUNDO OVOS 69X89,"2"
57446,"7909107949164",SACO CROMUS ENERGIA OVOS 69X89,"2"
57447,"7909107361553",BANDEJA CROMUS LAMINADA N7,"3,98"
57448,"7909107361546",BANDEJA CROMUS LAMINADA N6,"3,3"
57449,"7909107554559",BANDEJA CROMUS LAMINADA N3,"1,1"
57450,"7909107361522",BANDEJA CROMUS LAMINADA N4,"1,9"
57451,"7909107361539",BANDEJA CROMUS LAMINADA N5,"2,3"
57452,"7909107554610",PRATO CROMUS LAMINADA N3,"1"
57453,"7909107361560",PRATO CROMUS LAMINADA N4,"1,3"
57454,"7909107361584",PRATO CROMUS LAMINADA N6,"1,9"
57455,"7909107361591",PRATO CROMUS LAMINADA N7,"2,7"
57456,"7909107703742",PRATO CROMUS LAMINADA PRINCESA 6,"3,5"
57457,"7909107860261",PRATO CROMUS LAMINADA PRINCIPE 6,"3,5"
57458,"7909107917958",BRINQ.CROMUS COELHO DECO BOLSA,"99,9"
57459,"7909107918924",BRINQ.CROMUS COELHO DECO PLAQUINHA,"184"
57460,"7909107918931",BRINQ.CROMUS COELHO DECO CESTINHA,"184"
57461,"7909107690950",CARTELA ADESIVA PEGADAS COLOR.G,"5,9"
57462,"7909107948815",CARTELA ADESIVA PEGADAS BCO.G,"5,9"
57463,"7909107766839",SACOLA CROMUS PRESENTE PARDO/VDE P,"2,9"
57464,"7909107766754",SACOLA CROMUS PRESENTE PARDO/RSA G,"5,4"
57465,"7909107927445",SACOLA CROMUS PRESENTE PINK M,"3,9"
57466,"7909107753747",CAIXA CHAMPAGNE CRIST.OURO,"4,9"
57467,"7909107783591",CAIXA MALETA SORT G 15X10X15,"2,5"
57468,"7909107377370",CESTA CROMUS VIME BCA P,"10,9"
57469,"574693",CONE CENOURA CROMUS 18X30,"0,6"
57470,"7909107810280",BANDEJA CROMUS DEC.FLORAL AZUL,"19,9"
57471,"7909107810303",BANDEJA CROMUS DEC.FLORAL BCO,"19,9"
57472,"7909107770102",CAIXA RIG.CROMUS REDONDA PIETRA M,"39,9"
57473,"7909107799899",CAIXA RIG.CROMUS REDONDA MARINA P,"29,9"
57474,"7909107799851",CAIXA RIG.CROMUS REDONDA MARINA G,"44,9"
57475,"7909107680937",CAIXA RIG.CROMUS QUADR.LILJ01OA P,"19,9"
57476,"7909107680852",CAIXA RIG.CROMUS QUADR.LILJ01OA M,"23,9"
57479,"7896321016706",BALA FLORESTAL 500G MASHA E URSO,"12,9"
57480,"574808",PIRULITO MASHA E URSO UN,"0,5"
57482,"7896279114837",FINALIZADOR ALISENA 100ML TRA 100ML,"10,9"
